nombre,marca,modelo,sku,categoria,condicion,estado,stock,stockMinimo,costoUSD,precioVentaBaseUSD
"Cable sata a doble sata, corriente",,,CABLE-SATA-A-DOBLE-SATA-CORRIENTE,CABLES,nuevo,activo,0,1,0,0
Cable sata a molex,,,CABLE-SATA-A-MOLEX,CABLES,nuevo,activo,0,1,0,0
Cable Sata interno Pc,,,CABLE-SATA-INTERNO-PC,CABLES,nuevo,activo,0,1,0,0
Cable HDMI 4K 10 mtr,,,CABLE-HDMI-4K-10-MTR,CABLES,nuevo,activo,4,1,0,0
Cable tipo C - Tipo C 1 metro,,,CABLE-TIPO-C-TIPO-C-1-METRO,CABLES,nuevo,activo,0,1,0,0
Cable USB C - Xiomi,,,CABLE-USB-C-XIOMI,CABLES,nuevo,activo,3,1,0,0
Cable VGA,,,CABLE-VGA,CABLES,nuevo,activo,10,1,0,0
Camara Redragon Cyberleans 4K,,,CAMARA-REDRAGON-CYBERLEANS-4K,ACCESORIOS,nuevo,activo,2,1,0,0
Camara Redragon Fobos,,,CAMARA-REDRAGON-FOBOS,ACCESORIOS,nuevo,activo,1,1,0,0
Camara Redragon Hitman,,,CAMARA-REDRAGON-HITMAN,ACCESORIOS,nuevo,activo,2,1,0,0
